match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
30/11/2024,D1,Union Berlin,Leverkusen,1,2,GG,Yes,1,1,Draw,1,3,4,Away Win,4,2,Home Win
30/11/2024,D1,Werder Bremen,Stuttgart,2,2,GG,Yes,1,1,Draw,11,2,13,Home Win,1,1,Draw
30/11/2024,D1,Dortmund,Bayern Munich,1,1,GG,No,1,0,Home Win,2,3,5,Away Win,2,2,Draw
01/12/2024,D1,Mainz,Hoffenheim,2,0,NG,No,2,0,Home Win,8,3,11,Home Win,1,3,Away Win
01/12/2024,D1,Heidenheim,Ein Frankfurt,0,4,NG,Yes,0,1,Away Win,6,5,11,Home Win,0,2,Away Win
06/12/2024,D1,Stuttgart,Union Berlin,3,2,GG,Yes,0,1,Away Win,1,6,7,Away Win,1,6,Away Win
07/12/2024,D1,Bayern Munich,Heidenheim,4,2,GG,Yes,1,0,Home Win,8,0,8,Home Win,1,0,Home Win
07/12/2024,D1,Bochum,Werder Bremen,0,1,NG,No,0,0,Draw,9,5,14,Home Win,1,1,Draw
07/12/2024,D1,Ein Frankfurt,Augsburg,2,2,GG,Yes,0,0,Draw,4,0,4,Home Win,2,2,Draw
07/12/2024,D1,Holstein Kiel,RB Leipzig,0,2,NG,No,0,1,Away Win,6,1,7,Home Win,4,3,Home Win
07/12/2024,D1,Leverkusen,St Pauli,2,1,GG,Yes,2,0,Home Win,7,4,11,Home Win,1,3,Away Win
07/12/2024,D1,M'gladbach,Dortmund,1,1,GG,No,0,0,Draw,7,4,11,Home Win,3,2,Home Win
08/12/2024,D1,Wolfsburg,Mainz,4,3,GG,Yes,1,2,Away Win,3,5,8,Away Win,3,4,Away Win
08/12/2024,D1,Hoffenheim,Freiburg,1,1,GG,No,0,0,Draw,6,1,7,Home Win,1,1,Draw
13/12/2024,D1,Freiburg,Wolfsburg,3,2,GG,Yes,1,0,Home Win,5,6,11,Away Win,4,1,Home Win
14/12/2024,D1,Augsburg,Leverkusen,0,2,NG,No,0,2,Away Win,4,9,13,Away Win,3,0,Home Win
14/12/2024,D1,Mainz,Bayern Munich,2,1,GG,Yes,1,0,Home Win,3,2,5,Home Win,3,2,Home Win
14/12/2024,D1,M'gladbach,Holstein Kiel,4,1,GG,Yes,3,1,Home Win,5,2,7,Home Win,1,1,Draw
14/12/2024,D1,Union Berlin,Bochum,0,2,NG,No,,,Draw,,,0,Draw,,,Draw
14/12/2024,D1,St Pauli,Werder Bremen,0,2,NG,No,0,1,Away Win,4,5,9,Away Win,2,3,Away Win
15/12/2024,D1,Heidenheim,Stuttgart,1,3,GG,Yes,1,2,Away Win,9,6,15,Home Win,4,3,Home Win
15/12/2024,D1,Dortmund,Hoffenheim,1,1,GG,No,0,0,Draw,3,9,12,Away Win,5,2,Home Win
15/12/2024,D1,RB Leipzig,Ein Frankfurt,2,1,GG,Yes,1,1,Draw,6,7,13,Away Win,1,3,Away Win
20/12/2024,D1,Bayern Munich,RB Leipzig,5,1,GG,Yes,3,1,Home Win,8,1,9,Home Win,5,2,Home Win
21/12/2024,D1,Ein Frankfurt,Mainz,1,3,GG,Yes,0,2,Away Win,17,2,19,Home Win,1,1,Draw
21/12/2024,D1,Hoffenheim,M'gladbach,1,2,GG,Yes,0,1,Away Win,8,4,12,Home Win,0,0,Draw
21/12/2024,D1,Holstein Kiel,Augsburg,5,1,GG,Yes,4,1,Home Win,3,8,11,Away Win,0,4,Away Win
21/12/2024,D1,Stuttgart,St Pauli,0,1,NG,No,0,1,Away Win,9,1,10,Home Win,2,2,Draw
21/12/2024,D1,Werder Bremen,Union Berlin,4,1,GG,Yes,3,1,Home Win,4,9,13,Away Win,2,2,Draw
21/12/2024,D1,Leverkusen,Freiburg,5,1,GG,Yes,1,0,Home Win,4,2,6,Home Win,1,2,Away Win
22/12/2024,D1,Bochum,Heidenheim,2,0,NG,No,2,0,Home Win,5,2,7,Home Win,2,7,Away Win
22/12/2024,D1,Wolfsburg,Dortmund,1,3,GG,Yes,0,3,Away Win,10,4,14,Home Win,3,2,Home Win
10/01/2025,D1,Dortmund,Leverkusen,2,3,GG,Yes,1,3,Away Win,6,1,7,Home Win,1,2,Away Win
11/01/2025,D1,Freiburg,Holstein Kiel,3,2,GG,Yes,2,0,Home Win,7,1,8,Home Win,2,3,Away Win
11/01/2025,D1,Heidenheim,Union Berlin,2,0,NG,No,1,0,Home Win,5,4,9,Home Win,0,1,Away Win
11/01/2025,D1,Hoffenheim,Wolfsburg,0,1,NG,No,0,1,Away Win,4,8,12,Away Win,1,2,Away Win
11/01/2025,D1,Mainz,Bochum,2,0,NG,No,1,0,Home Win,5,6,11,Away Win,0,2,Away Win
11/01/2025,D1,St Pauli,Ein Frankfurt,0,1,NG,No,0,1,Away Win,3,3,6,Draw,0,3,Away Win
11/01/2025,D1,M'gladbach,Bayern Munich,0,1,NG,No,0,0,Draw,4,10,14,Away Win,3,1,Home Win
12/01/2025,D1,RB Leipzig,Werder Bremen,4,2,GG,Yes,2,1,Home Win,4,1,5,Home Win,1,1,Draw
12/01/2025,D1,Augsburg,Stuttgart,0,1,NG,No,0,0,Draw,3,9,12,Away Win,5,1,Home Win
14/01/2025,D1,Holstein Kiel,Dortmund,4,2,GG,Yes,3,0,Home Win,1,9,10,Away Win,2,2,Draw
14/01/2025,D1,Ein Frankfurt,Freiburg,4,1,GG,Yes,1,1,Draw,8,1,9,Home Win,1,1,Draw
14/01/2025,D1,Leverkusen,Mainz,1,0,NG,No,0,0,Draw,8,4,12,Home Win,2,3,Away Win
14/01/2025,D1,Wolfsburg,M'gladbach,5,1,GG,Yes,1,0,Home Win,4,7,11,Away Win,1,0,Home Win
15/01/2025,D1,Bochum,St Pauli,1,0,NG,No,0,0,Draw,6,7,13,Away Win,1,3,Away Win
15/01/2025,D1,Bayern Munich,Hoffenheim,5,0,NG,Yes,3,0,Home Win,13,1,14,Home Win,1,1,Draw
15/01/2025,D1,Stuttgart,RB Leipzig,2,1,GG,Yes,0,1,Away Win,5,0,5,Home Win,2,7,Away Win
15/01/2025,D1,Union Berlin,Augsburg,0,2,NG,No,0,2,Away Win,7,4,11,Home Win,1,2,Away Win
15/01/2025,D1,Werder Bremen,Heidenheim,3,3,GG,Yes,1,1,Draw,4,2,6,Home Win,5,3,Home Win
17/01/2025,D1,Ein Frankfurt,Dortmund,2,0,NG,No,1,0,Home Win,5,7,12,Away Win,0,2,Away Win
18/01/2025,D1,Bayern Munich,Wolfsburg,3,2,GG,Yes,2,1,Home Win,6,2,8,Home Win,2,3,Away Win
18/01/2025,D1,Bochum,RB Leipzig,3,3,GG,Yes,0,3,Away Win,6,3,9,Home Win,4,0,Home Win
