Round Number,Date,Home Team,Away Team,Time
17,21/12/2025 20:00,Valencia,Mallorca,20:00:00
18,04/01/2026 20:00,Alaves,Real Oviedo,20:00:00
18,04/01/2026 20:00,Celta,Valencia,20:00:00
18,04/01/2026 20:00,Elche,Villarreal,20:00:00
18,04/01/2026 20:00,Osasuna,Ath Bilbao,20:00:00
18,04/01/2026 20:00,Sociedad,Ath Madrid,20:00:00
18,04/01/2026 20:00,Espanol,Barcelona,20:00:00
18,04/01/2026 20:00,Real Madrid,Betis,20:00:00
18,04/01/2026 20:00,Vallecano,Getafe,20:00:00
18,04/01/2026 20:00,Mallorca,Girona,20:00:00
18,04/01/2026 20:00,Sevilla,Levante,20:00:00
19,02/12/2025 20:00,Barcelona,Ath Madrid,20:00:00
19,03/12/2025 18:00,Ath Bilbao,Real Madrid,18:00:00
19,11/01/2026 20:00,Getafe,Sociedad,20:00:00
19,11/01/2026 20:00,Girona,Osasuna,20:00:00
19,11/01/2026 20:00,Villarreal,Alaves,20:00:00
19,11/01/2026 20:00,Real Oviedo,Betis,20:00:00
19,11/01/2026 20:00,Sevilla,Celta,20:00:00
19,11/01/2026 20:00,Valencia,Elche,20:00:00
19,11/01/2026 20:00,Levante,Espanol,20:00:00
19,11/01/2026 20:00,Vallecano,Mallorca,20:00:00
20,18/01/2026 20:00,Betis,Villarreal,20:00:00
20,18/01/2026 20:00,Celta,Vallecano,20:00:00
20,18/01/2026 20:00,Elche,Sevilla,20:00:00
20,18/01/2026 20:00,Espanol,Girona,20:00:00
20,18/01/2026 20:00,Getafe,Valencia,20:00:00
20,18/01/2026 20:00,Osasuna,Real Oviedo,20:00:00
20,18/01/2026 20:00,Ath Madrid,Alaves,20:00:00
20,18/01/2026 20:00,Mallorca,Ath Bilbao,20:00:00
20,18/01/2026 20:00,Sociedad,Barcelona,20:00:00
20,18/01/2026 20:00,Real Madrid,Levante,20:00:00
21,25/01/2026 20:00,Alaves,Betis,20:00:00
21,25/01/2026 20:00,Ath Madrid,Mallorca,20:00:00
21,25/01/2026 20:00,Barcelona,Real Oviedo,20:00:00
21,25/01/2026 20:00,Sevilla,Ath Bilbao,20:00:00
21,25/01/2026 20:00,Sociedad,Celta,20:00:00
21,25/01/2026 20:00,Levante,Elche,20:00:00
21,25/01/2026 20:00,Valencia,Espanol,20:00:00
21,25/01/2026 20:00,Girona,Getafe,20:00:00
21,25/01/2026 20:00,Vallecano,Osasuna,20:00:00
21,25/01/2026 20:00,Villarreal,Real Madrid,20:00:00
22,01/02/2026 20:00,Ath Bilbao,Sociedad,20:00:00
22,01/02/2026 20:00,Betis,Valencia,20:00:00
22,01/02/2026 20:00,Mallorca,Sevilla,20:00:00
22,01/02/2026 20:00,Osasuna,Villarreal,20:00:00
22,01/02/2026 20:00,Espanol,Alaves,20:00:00
22,01/02/2026 20:00,Levante,Ath Madrid,20:00:00
22,01/02/2026 20:00,Elche,Barcelona,20:00:00
22,01/02/2026 20:00,Getafe,Celta,20:00:00
22,01/02/2026 20:00,Real Oviedo,Girona,20:00:00
22,01/02/2026 20:00,Real Madrid,Vallecano,20:00:00
23,08/02/2026 20:00,Alaves,Getafe,20:00:00
23,08/02/2026 20:00,Ath Bilbao,Levante,20:00:00
23,08/02/2026 20:00,Ath Madrid,Betis,20:00:00
23,08/02/2026 20:00,Barcelona,Mallorca,20:00:00
23,08/02/2026 20:00,Celta,Osasuna,20:00:00
23,08/02/2026 20:00,Sociedad,Elche,20:00:00
23,08/02/2026 20:00,Villarreal,Espanol,20:00:00
23,08/02/2026 20:00,Sevilla,Girona,20:00:00
23,08/02/2026 20:00,Valencia,Real Madrid,20:00:00
23,08/02/2026 20:00,Vallecano,Real Oviedo,20:00:00
24,15/02/2026 20:00,Elche,Osasuna,20:00:00
24,15/02/2026 20:00,Getafe,Villarreal,20:00:00
24,15/02/2026 20:00,Levante,Valencia,20:00:00
24,15/02/2026 20:00,Real Madrid,Sociedad,20:00:00
24,15/02/2026 20:00,Sevilla,Alaves,20:00:00
24,15/02/2026 20:00,Real Oviedo,Ath Bilbao,20:00:00
24,15/02/2026 20:00,Vallecano,Ath Madrid,20:00:00
24,15/02/2026 20:00,Girona,Barcelona,20:00:00
24,15/02/2026 20:00,Mallorca,Betis,20:00:00
24,15/02/2026 20:00,Espanol,Celta,20:00:00
25,22/02/2026 20:00,Alaves,Girona,20:00:00
25,22/02/2026 20:00,Ath Bilbao,Elche,20:00:00
25,22/02/2026 20:00,Ath Madrid,Espanol,20:00:00
25,22/02/2026 20:00,Barcelona,Levante,20:00:00
25,22/02/2026 20:00,Betis,Vallecano,20:00:00
25,22/02/2026 20:00,Celta,Mallorca,20:00:00
25,22/02/2026 20:00,Getafe,Sevilla,20:00:00
25,22/02/2026 20:00,Osasuna,Real Madrid,20:00:00
25,22/02/2026 20:00,Villarreal,Valencia,20:00:00
25,22/02/2026 20:00,Sociedad,Real Oviedo,20:00:00
26,01/03/2026 20:00,Barcelona,Villarreal,20:00:00
26,01/03/2026 20:00,Betis,Sevilla,20:00:00
26,01/03/2026 20:00,Elche,Espanol,20:00:00
26,01/03/2026 20:00,Mallorca,Sociedad,20:00:00
26,01/03/2026 20:00,Levante,Alaves,20:00:00
26,01/03/2026 20:00,Vallecano,Ath Bilbao,20:00:00
26,01/03/2026 20:00,Real Oviedo,Ath Madrid,20:00:00
26,01/03/2026 20:00,Girona,Celta,20:00:00
26,01/03/2026 20:00,Real Madrid,Getafe,20:00:00
26,01/03/2026 20:00,Valencia,Osasuna,20:00:00
27,08/03/2026 20:00,Ath Bilbao,Barcelona,20:00:00
27,08/03/2026 20:00,Ath Madrid,Sociedad,20:00:00
27,08/03/2026 20:00,Celta,Real Madrid,20:00:00
27,08/03/2026 20:00,Espanol,Real Oviedo,20:00:00
27,08/03/2026 20:00,Valencia,Alaves,20:00:00
27,08/03/2026 20:00,Getafe,Betis,20:00:00
