Round_Number,Date,Home Team,Away_Team,Time
23,21/02/2026 14:30,Freiburg,M'gladbach,14:30:00
23,21/02/2026 14:30,Bayern Munich,Ein Frankfurt,14:30:00
24,28/02/2026 14:30,Hamburg,RB Leipzig,14:30:00
24,28/02/2026 14:30,Hoffenheim,St. Pauli,14:30:00
24,28/02/2026 14:30,Augsburg,FC Koln,14:30:00
24,28/02/2026 14:30,M'gladbach,Union Berlin,14:30:00
24,28/02/2026 14:30,Stuttgart,Wolfsburg,14:30:00
24,28/02/2026 14:30,Werder Bremen,Heidenheim,14:30:00
24,28/02/2026 14:30,Dortmund,Bayern Munich,14:30:00
24,28/02/2026 14:30,Ein Frankfurt,Freiburg,14:30:00
24,28/02/2026 14:30,Leverkusen,Mainz,14:30:00
25,07/03/2026 14:30,FC Koln,Dortmund,14:30:00
25,07/03/2026 14:30,Heidenheim,Hoffenheim,14:30:00
25,07/03/2026 14:30,St. Pauli,Ein Frankfurt,14:30:00
25,07/03/2026 14:30,Union Berlin,Werder Bremen,14:30:00
25,07/03/2026 14:30,Wolfsburg,Hamburg,14:30:00
25,07/03/2026 14:30,RB Leipzig,Augsburg,14:30:00
25,07/03/2026 14:30,Mainz,Stuttgart,14:30:00
25,07/03/2026 14:30,Freiburg,Leverkusen,14:30:00
25,07/03/2026 14:30,Bayern Munich,M'gladbach,14:30:00
26,14/03/2026 14:30,Hamburg,FC Koln,14:30:00
26,14/03/2026 14:30,Hoffenheim,Wolfsburg,14:30:00
26,14/03/2026 14:30,M'gladbach,St. Pauli,14:30:00
26,14/03/2026 14:30,Stuttgart,RB Leipzig,14:30:00
26,14/03/2026 14:30,Werder Bremen,Mainz,14:30:00
26,14/03/2026 14:30,Freiburg,Union Berlin,14:30:00
26,14/03/2026 14:30,Dortmund,Augsburg,14:30:00
26,14/03/2026 14:30,Ein Frankfurt,Heidenheim,14:30:00
26,14/03/2026 14:30,Leverkusen,Bayern Munich,14:30:00
27,21/03/2026 14:30,FC Koln,M'gladbach,14:30:00
27,21/03/2026 14:30,Heidenheim,Leverkusen,14:30:00
27,21/03/2026 14:30,St. Pauli,Freiburg,14:30:00
27,21/03/2026 14:30,Augsburg,Stuttgart,14:30:00
27,21/03/2026 14:30,Wolfsburg,Werder Bremen,14:30:00
27,21/03/2026 14:30,RB Leipzig,Hoffenheim,14:30:00
27,21/03/2026 14:30,Mainz,Ein Frankfurt,14:30:00
27,21/03/2026 14:30,Dortmund,Hamburg,14:30:00
27,21/03/2026 14:30,Bayern Munich,Union Berlin,14:30:00
28,04/04/2026 13:30,Hamburg,Augsburg,13:30:00
28,04/04/2026 13:30,Hoffenheim,Mainz,13:30:00
28,04/04/2026 13:30,Union Berlin,St. Pauli,13:30:00
28,04/04/2026 13:30,M'gladbach,Heidenheim,13:30:00
28,04/04/2026 13:30,Stuttgart,Dortmund,13:30:00
28,04/04/2026 13:30,Werder Bremen,RB Leipzig,13:30:00
28,04/04/2026 13:30,Freiburg,Bayern Munich,13:30:00
28,04/04/2026 13:30,Ein Frankfurt,FC Koln,13:30:00
28,04/04/2026 13:30,Leverkusen,Wolfsburg,13:30:00
29,11/04/2026 13:30,FC Koln,Werder Bremen,13:30:00
29,11/04/2026 13:30,Heidenheim,Union Berlin,13:30:00
29,11/04/2026 13:30,St. Pauli,Bayern Munich,13:30:00
29,11/04/2026 13:30,Augsburg,Hoffenheim,13:30:00
29,11/04/2026 13:30,Wolfsburg,Ein Frankfurt,13:30:00
29,11/04/2026 13:30,Stuttgart,Hamburg,13:30:00
29,11/04/2026 13:30,RB Leipzig,M'gladbach,13:30:00
29,11/04/2026 13:30,Mainz,Freiburg,13:30:00
29,11/04/2026 13:30,Dortmund,Leverkusen,13:30:00
30,18/04/2026 13:30,Hoffenheim,Dortmund,13:30:00
30,18/04/2026 13:30,St. Pauli,FC Koln,13:30:00
30,18/04/2026 13:30,Union Berlin,Wolfsburg,13:30:00
30,18/04/2026 13:30,M'gladbach,Mainz,13:30:00
30,18/04/2026 13:30,Werder Bremen,Hamburg,13:30:00
30,18/04/2026 13:30,Freiburg,Heidenheim,13:30:00
30,18/04/2026 13:30,Ein Frankfurt,RB Leipzig,13:30:00
30,18/04/2026 13:30,Leverkusen,Augsburg,13:30:00
30,18/04/2026 13:30,Bayern Munich,Stuttgart,13:30:00
31,25/04/2026 13:30,Hamburg,Hoffenheim,13:30:00
31,25/04/2026 13:30,FC Koln,Leverkusen,13:30:00
31,25/04/2026 13:30,Heidenheim,St. Pauli,13:30:00
31,25/04/2026 13:30,Augsburg,Ein Frankfurt,13:30:00
31,25/04/2026 13:30,Wolfsburg,M'gladbach,13:30:00
31,25/04/2026 13:30,Stuttgart,Werder Bremen,13:30:00
31,25/04/2026 13:30,RB Leipzig,Union Berlin,13:30:00
31,25/04/2026 13:30,Mainz,Bayern Munich,13:30:00
