match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
17/04/2023,I1,Fiorentina,Atalanta,1,1,GG,No,0,1,Away Win,5,1,6,Home Win,1,3,Away Win
21/04/2023,I1,Verona,Bologna,2,1,GG,Yes,1,0,Home Win,4,2,6,Home Win,2,4,Away Win
22/04/2023,I1,Salernitana,Sassuolo,3,0,NG,Yes,2,0,Home Win,4,8,12,Away Win,1,2,Away Win
22/04/2023,I1,Lazio,Torino,0,1,NG,No,0,1,Away Win,3,4,7,Away Win,2,4,Away Win
22/04/2023,I1,Sampdoria,Spezia,1,1,GG,No,1,0,Home Win,9,9,18,Draw,1,1,Draw
23/04/2023,I1,Empoli,Inter,0,3,NG,Yes,0,0,Draw,5,4,9,Home Win,1,1,Draw
23/04/2023,I1,Monza,Fiorentina,3,2,GG,Yes,2,2,Draw,5,3,8,Home Win,3,3,Draw
23/04/2023,I1,Udinese,Cremonese,3,0,NG,Yes,3,0,Home Win,3,8,11,Away Win,2,3,Away Win
23/04/2023,I1,Milan,Lecce,2,0,NG,No,1,0,Home Win,4,2,6,Home Win,1,0,Home Win
23/04/2023,I1,Juventus,Napoli,0,1,NG,No,0,0,Draw,3,6,9,Away Win,4,1,Home Win
24/04/2023,I1,Atalanta,Roma,3,1,GG,Yes,1,0,Home Win,3,4,7,Away Win,3,1,Home Win
28/04/2023,I1,Lecce,Udinese,1,0,NG,No,0,0,Draw,7,4,11,Home Win,4,2,Home Win
28/04/2023,I1,Spezia,Monza,0,2,NG,No,0,1,Away Win,3,3,6,Draw,1,2,Away Win
29/04/2023,I1,Roma,Milan,1,1,GG,No,0,0,Draw,1,5,6,Away Win,3,2,Home Win
29/04/2023,I1,Torino,Atalanta,1,2,GG,Yes,0,1,Away Win,3,3,6,Draw,1,1,Draw
30/04/2023,I1,Inter,Lazio,3,1,GG,Yes,0,1,Away Win,2,3,5,Away Win,2,3,Away Win
30/04/2023,I1,Cremonese,Verona,1,1,GG,No,1,0,Home Win,3,5,8,Away Win,0,0,Draw
30/04/2023,I1,Napoli,Salernitana,1,1,GG,No,0,0,Draw,10,0,10,Home Win,2,2,Draw
30/04/2023,I1,Sassuolo,Empoli,2,1,GG,Yes,0,1,Away Win,7,5,12,Home Win,2,1,Home Win
30/04/2023,I1,Fiorentina,Sampdoria,5,0,NG,Yes,1,0,Home Win,11,0,11,Home Win,2,1,Home Win
30/04/2023,I1,Bologna,Juventus,1,1,GG,No,1,0,Home Win,4,5,9,Away Win,2,2,Draw
03/05/2023,I1,Atalanta,Spezia,3,2,GG,Yes,1,1,Draw,12,3,15,Home Win,0,3,Away Win
03/05/2023,I1,Juventus,Lecce,2,1,GG,Yes,2,1,Home Win,6,7,13,Away Win,2,2,Draw
03/05/2023,I1,Salernitana,Fiorentina,3,3,GG,Yes,1,1,Draw,2,3,5,Away Win,3,5,Away Win
03/05/2023,I1,Sampdoria,Torino,0,2,NG,No,0,1,Away Win,2,3,5,Away Win,3,2,Home Win
03/05/2023,I1,Lazio,Sassuolo,2,0,NG,No,1,0,Home Win,1,2,3,Away Win,3,5,Away Win
03/05/2023,I1,Milan,Cremonese,1,1,GG,No,0,0,Draw,10,0,10,Home Win,0,3,Away Win
03/05/2023,I1,Monza,Roma,1,1,GG,No,1,1,Draw,4,3,7,Home Win,3,4,Away Win
03/05/2023,I1,Verona,Inter,0,6,NG,Yes,0,3,Away Win,2,7,9,Away Win,0,0,Draw
04/05/2023,I1,Empoli,Bologna,3,1,GG,Yes,2,0,Home Win,2,5,7,Away Win,3,0,Home Win
04/05/2023,I1,Udinese,Napoli,1,1,GG,No,1,0,Home Win,2,6,8,Away Win,1,0,Home Win
06/05/2023,I1,Milan,Lazio,2,0,NG,No,2,0,Home Win,6,4,10,Home Win,2,4,Away Win
06/05/2023,I1,Roma,Inter,0,2,NG,No,0,1,Away Win,12,5,17,Home Win,3,2,Home Win
06/05/2023,I1,Cremonese,Spezia,2,0,NG,No,1,0,Home Win,3,13,16,Away Win,0,2,Away Win
07/05/2023,I1,Atalanta,Juventus,0,2,NG,No,0,0,Draw,7,3,10,Home Win,1,2,Away Win
07/05/2023,I1,Torino,Monza,1,1,GG,No,0,0,Draw,7,4,11,Home Win,2,1,Home Win
07/05/2023,I1,Napoli,Fiorentina,1,0,NG,No,0,0,Draw,0,5,5,Away Win,0,0,Draw
07/05/2023,I1,Lecce,Verona,0,1,NG,No,0,0,Draw,4,4,8,Draw,2,5,Away Win
08/05/2023,I1,Empoli,Salernitana,2,1,GG,Yes,1,0,Home Win,8,7,15,Home Win,2,2,Draw
08/05/2023,I1,Udinese,Sampdoria,2,0,NG,No,2,0,Home Win,7,3,10,Home Win,2,2,Draw
08/05/2023,I1,Sassuolo,Bologna,1,1,GG,No,1,1,Draw,4,4,8,Draw,1,1,Draw
12/05/2023,I1,Lazio,Lecce,2,2,GG,Yes,1,1,Draw,2,3,5,Away Win,3,5,Away Win
13/05/2023,I1,Salernitana,Atalanta,1,0,NG,No,0,0,Draw,5,3,8,Home Win,2,2,Draw
13/05/2023,I1,Spezia,Milan,2,0,NG,No,0,0,Draw,6,9,15,Away Win,1,1,Draw
13/05/2023,I1,Inter,Sassuolo,4,2,GG,Yes,1,0,Home Win,1,5,6,Away Win,2,3,Away Win
14/05/2023,I1,Verona,Torino,0,1,NG,No,0,1,Away Win,3,4,7,Away Win,3,2,Home Win
14/05/2023,I1,Fiorentina,Udinese,2,0,NG,No,1,0,Home Win,3,3,6,Draw,3,3,Draw
14/05/2023,I1,Monza,Napoli,2,0,NG,No,1,0,Home Win,6,10,16,Away Win,1,1,Draw
14/05/2023,I1,Bologna,Roma,0,0,NG,No,0,0,Draw,3,6,9,Away Win,2,1,Home Win
14/05/2023,I1,Juventus,Cremonese,2,0,NG,No,0,0,Draw,7,0,7,Home Win,2,0,Home Win
