match_date,league,HomeTeam,AwayTeam,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
01/10/2022,N1,Groningen,AZ Alkmaar,1,4,GG,Yes,1,2,Away Win,1,1,2,Draw,1,1,Draw
01/10/2022,N1,Ajax,Go Ahead Eagles,1,1,GG,No,1,0,Home Win,7,0,7,Home Win,1,1,Draw
01/10/2022,N1,Twente,Vitesse,3,0,NG,Yes,1,0,Home Win,5,2,7,Home Win,1,1,Draw
02/10/2022,N1,For Sittard,Volendam,2,0,NG,No,2,0,Home Win,8,4,12,Home Win,1,0,Home Win
02/10/2022,N1,Excelsior,Utrecht,0,1,NG,No,0,1,Away Win,8,10,18,Away Win,2,1,Home Win
02/10/2022,N1,Nijmegen,Feyenoord,1,1,GG,No,1,1,Draw,4,10,14,Away Win,1,6,Away Win
02/10/2022,N1,Waalwijk,Sparta Rotterdam,2,2,GG,Yes,1,1,Draw,6,5,11,Home Win,2,0,Home Win
02/10/2022,N1,FC Emmen,Heerenveen,0,0,NG,No,0,0,Draw,2,4,6,Away Win,1,0,Home Win
07/10/2022,N1,Groningen,Waalwijk,2,3,GG,Yes,1,1,Draw,8,9,17,Away Win,1,2,Away Win
08/10/2022,N1,Volendam,Ajax,2,4,GG,Yes,0,2,Away Win,3,6,9,Away Win,2,3,Away Win
08/10/2022,N1,Sparta Rotterdam,FC Emmen,3,1,GG,Yes,1,0,Home Win,4,2,6,Home Win,4,3,Home Win
08/10/2022,N1,Nijmegen,Excelsior,1,1,GG,No,0,0,Draw,8,4,12,Home Win,2,3,Away Win
09/10/2022,N1,Go Ahead Eagles,Cambuur,0,0,NG,No,0,0,Draw,12,5,17,Home Win,2,0,Home Win
09/10/2022,N1,Feyenoord,Twente,2,0,NG,No,1,0,Home Win,10,3,13,Home Win,2,1,Home Win
09/10/2022,N1,Utrecht,AZ Alkmaar,1,2,GG,Yes,0,1,Away Win,6,7,13,Away Win,3,0,Home Win
09/10/2022,N1,Heerenveen,PSV Eindhoven,0,1,NG,No,0,0,Draw,2,7,9,Away Win,2,0,Home Win
09/10/2022,N1,Vitesse,For Sittard,1,2,GG,Yes,1,1,Draw,8,3,11,Home Win,4,1,Home Win
14/10/2022,N1,FC Emmen,Volendam,1,1,GG,No,0,0,Draw,7,5,12,Home Win,0,1,Away Win
15/10/2022,N1,For Sittard,Waalwijk,0,0,NG,No,0,0,Draw,8,5,13,Home Win,3,2,Home Win
15/10/2022,N1,Go Ahead Eagles,Heerenveen,1,1,GG,No,0,0,Draw,2,3,5,Away Win,2,1,Home Win
15/10/2022,N1,Cambuur,Vitesse,0,3,NG,Yes,0,1,Away Win,4,7,11,Away Win,0,1,Away Win
16/10/2022,N1,Sparta Rotterdam,Nijmegen,2,0,NG,No,2,0,Home Win,4,3,7,Home Win,2,3,Away Win
16/10/2022,N1,PSV Eindhoven,Utrecht,6,1,GG,Yes,3,1,Home Win,5,3,8,Home Win,0,3,Away Win
16/10/2022,N1,Twente,Groningen,3,0,NG,Yes,0,0,Draw,9,2,11,Home Win,1,2,Away Win
16/10/2022,N1,AZ Alkmaar,Feyenoord,1,3,GG,Yes,1,1,Draw,1,2,3,Away Win,2,1,Home Win
16/10/2022,N1,Ajax,Excelsior,7,1,GG,Yes,3,0,Home Win,13,2,15,Home Win,0,0,Draw
22/10/2022,N1,Feyenoord,For Sittard,1,1,GG,No,0,1,Away Win,12,2,14,Home Win,0,1,Away Win
22/10/2022,N1,Waalwijk,Ajax,1,4,GG,Yes,1,1,Draw,5,7,12,Away Win,3,2,Home Win
22/10/2022,N1,Vitesse,FC Emmen,2,1,GG,Yes,2,0,Home Win,4,3,7,Home Win,1,2,Away Win
23/10/2022,N1,Excelsior,AZ Alkmaar,2,1,GG,Yes,2,0,Home Win,3,9,12,Away Win,2,1,Home Win
23/10/2022,N1,Cambuur,Twente,0,1,NG,No,0,0,Draw,7,5,12,Home Win,3,2,Home Win
23/10/2022,N1,Groningen,PSV Eindhoven,4,2,GG,Yes,3,1,Home Win,2,13,15,Away Win,0,0,Draw
23/10/2022,N1,Nijmegen,Go Ahead Eagles,3,3,GG,Yes,1,2,Away Win,3,3,6,Draw,3,1,Home Win
23/10/2022,N1,Utrecht,Sparta Rotterdam,3,1,GG,Yes,1,0,Home Win,8,5,13,Home Win,0,2,Away Win
23/10/2022,N1,Volendam,Heerenveen,1,3,GG,Yes,1,1,Draw,8,5,13,Home Win,2,3,Away Win
29/10/2022,N1,Heerenveen,Utrecht,1,2,GG,Yes,1,1,Draw,4,2,6,Home Win,2,4,Away Win
29/10/2022,N1,Sparta Rotterdam,For Sittard,3,1,GG,Yes,1,1,Draw,6,6,12,Draw,1,2,Away Win
29/10/2022,N1,Go Ahead Eagles,Excelsior,3,1,GG,Yes,2,0,Home Win,6,3,9,Home Win,0,4,Away Win
30/10/2022,N1,FC Emmen,Groningen,0,0,NG,No,0,0,Draw,9,5,14,Home Win,1,1,Draw
30/10/2022,N1,PSV Eindhoven,Nijmegen,3,0,NG,Yes,1,0,Home Win,5,4,9,Home Win,0,2,Away Win
30/10/2022,N1,Twente,Waalwijk,3,0,NG,Yes,2,0,Home Win,6,4,10,Home Win,1,2,Away Win
30/10/2022,N1,AZ Alkmaar,Volendam,2,1,GG,Yes,2,0,Home Win,5,9,14,Away Win,2,2,Draw
04/11/2022,N1,Cambuur,Nijmegen,0,1,NG,No,0,1,Away Win,5,6,11,Away Win,1,0,Home Win
05/11/2022,N1,Vitesse,Sparta Rotterdam,0,4,NG,Yes,0,0,Draw,6,2,8,Home Win,1,0,Home Win
05/11/2022,N1,For Sittard,FC Emmen,0,1,NG,No,0,0,Draw,8,3,11,Home Win,2,1,Home Win
05/11/2022,N1,Excelsior,Heerenveen,0,1,NG,No,0,0,Draw,7,2,9,Home Win,0,1,Away Win
06/11/2022,N1,Utrecht,Groningen,2,1,GG,Yes,0,1,Away Win,6,5,11,Home Win,3,1,Home Win
06/11/2022,N1,Twente,Go Ahead Eagles,1,1,GG,No,1,0,Home Win,6,5,11,Home Win,4,2,Home Win
06/11/2022,N1,Volendam,Feyenoord,0,2,NG,No,0,2,Away Win,6,8,14,Away Win,2,2,Draw
06/11/2022,N1,Ajax,PSV Eindhoven,1,2,GG,Yes,0,1,Away Win,9,1,10,Home Win,2,3,Away Win
06/11/2022,N1,Waalwijk,AZ Alkmaar,3,1,GG,Yes,1,1,Draw,8,5,13,Home Win,1,3,Away Win
09/11/2022,N1,Ajax,Vitesse,2,2,GG,Yes,1,1,Draw,8,7,15,Home Win,1,1,Draw
10/11/2022,N1,Feyenoord,Cambuur,1,0,NG,No,1,0,Home Win,8,4,12,Home Win,3,1,Home Win
11/11/2022,N1,Sparta Rotterdam,Twente,1,1,GG,No,0,0,Draw,3,7,10,Away Win,2,0,Home Win
12/11/2022,N1,Volendam,Utrecht,0,4,NG,Yes,0,1,Away Win,4,5,9,Away Win,1,1,Draw
12/11/2022,N1,FC Emmen,Ajax,3,3,GG,Yes,1,3,Away Win,5,1,6,Home Win,2,1,Home Win
12/11/2022,N1,PSV Eindhoven,AZ Alkmaar,0,1,NG,No,0,1,Away Win,4,2,6,Home Win,0,2,Away Win
13/11/2022,N1,Nijmegen,Waalwijk,6,1,GG,Yes,1,1,Draw,7,3,10,Home Win,1,2,Away Win
13/11/2022,N1,Groningen,For Sittard,2,3,GG,Yes,1,0,Home Win,4,5,9,Away Win,2,3,Away Win
13/11/2022,N1,Heerenveen,Cambuur,2,1,GG,Yes,1,1,Draw,7,2,9,Home Win,3,2,Home Win
13/11/2022,N1,Feyenoord,Excelsior,5,1,GG,Yes,2,1,Home Win,5,2,7,Home Win,2,3,Away Win
13/11/2022,N1,Go Ahead Eagles,Vitesse,2,2,GG,Yes,2,0,Home Win,3,11,14,Away Win,1,6,Away Win
06/01/2023,N1,Twente,FC Emmen,2,0,NG,No,1,0,Home Win,11,3,14,Home Win,1,2,Away Win
07/01/2023,N1,Waalwijk,Heerenveen,0,0,NG,No,0,0,Draw,3,7,10,Away Win,1,1,Draw
07/01/2023,N1,AZ Alkmaar,Vitesse,1,1,GG,No,0,0,Draw,7,4,11,Home Win,2,1,Home Win
07/01/2023,N1,For Sittard,Go Ahead Eagles,0,2,NG,No,0,2,Away Win,4,10,14,Away Win,4,2,Home Win
07/01/2023,N1,PSV Eindhoven,Sparta Rotterdam,0,0,NG,No,0,0,Draw,5,4,9,Home Win,1,3,Away Win
08/01/2023,N1,Utrecht,Feyenoord,1,1,GG,No,1,0,Home Win,5,2,7,Home Win,2,1,Home Win
08/01/2023,N1,Cambuur,Volendam,0,3,NG,Yes,0,2,Away Win,7,4,11,Home Win,3,1,Home Win
08/01/2023,N1,Nijmegen,Ajax,1,1,GG,No,0,1,Away Win,1,9,10,Away Win,1,3,Away Win
08/01/2023,N1,Excelsior,Groningen,1,0,NG,No,0,0,Draw,4,6,10,Away Win,2,3,Away Win
14/01/2023,N1,Heerenveen,AZ Alkmaar,0,2,NG,No,0,1,Away Win,3,1,4,Home Win,0,3,Away Win
14/01/2023,N1,Volendam,Waalwijk,2,1,GG,Yes,0,0,Draw,9,4,13,Home Win,1,0,Home Win
