Round Number,Date,Home Team,Away Team,Time
20,24/01/2026 18:45,Nijmegen,Zwolle,18:45:00
20,24/01/2026 20:00,PSV Eindhoven,NAC Breda,20:00:00
20,24/01/2026 21:00,Twente,Excelsior,21:00:00
20,25/01/2026 12:15,Telstar,AZ Alkmaar,12:15:00
20,25/01/2026 14:30,Groningen,For Sittard,14:30:00
20,25/01/2026 16:45,Feyenoord,Heracles,16:45:00
20,25/01/2026 16:45,Utrecht,Sparta Rotterdam,16:45:00
20,25/01/2026 20:00,Go Ahead Eagles,Heerenveen,20:00:00
21,30/01/2026 20:00,NAC Breda,Twente,20:00:00
21,31/01/2026 16:30,AZ Alkmaar,Nijmegen,16:30:00
21,31/01/2026 18:45,Zwolle,Telstar,18:45:00
21,31/01/2026 21:00,Sparta Rotterdam,Groningen,21:00:00
21,01/02/2026 12:15,Excelsior,Ajax,12:15:00
21,01/02/2026 14:30,Heracles,For Sittard,14:30:00
21,01/02/2026 14:30,PSV Eindhoven,Feyenoord,14:30:00
21,01/02/2026 16:45,Heerenveen,Utrecht,16:45:00
21,01/02/2026 20:00,Volendam,Go Ahead Eagles,20:00:00
22,07/02/2026 01:00,Twente,Heerenveen,01:00:00
22,07/02/2026 01:00,Go Ahead Eagles,Telstar,01:00:00
22,07/02/2026 01:00,AZ Alkmaar,Ajax,01:00:00
22,07/02/2026 01:00,Utrecht,Feyenoord,01:00:00
22,07/02/2026 01:00,Zwolle,Volendam,01:00:00
22,07/02/2026 01:00,Groningen,PSV Eindhoven,01:00:00
22,07/02/2026 01:00,Nijmegen,Heracles,01:00:00
22,07/02/2026 01:00,For Sittard,Sparta Rotterdam,01:00:00
22,07/02/2026 01:00,NAC Breda,Excelsior,01:00:00
23,14/02/2026 01:00,Ajax,For Sittard,01:00:00
23,14/02/2026 01:00,Sparta Rotterdam,Nijmegen,01:00:00
23,14/02/2026 01:00,Telstar,Twente,01:00:00
23,14/02/2026 01:00,Heracles,NAC Breda,01:00:00
23,14/02/2026 01:00,Groningen,Utrecht,01:00:00
23,14/02/2026 01:00,Excelsior,AZ Alkmaar,01:00:00
23,14/02/2026 01:00,Volendam,PSV Eindhoven,01:00:00
23,14/02/2026 01:00,Feyenoord,Go Ahead Eagles,01:00:00
23,14/02/2026 01:00,Heerenveen,Zwolle,01:00:00
24,21/02/2026 01:00,Twente,Groningen,01:00:00
24,21/02/2026 01:00,Feyenoord,Telstar,01:00:00
24,21/02/2026 01:00,For Sittard,Excelsior,01:00:00
24,21/02/2026 01:00,AZ Alkmaar,Sparta Rotterdam,01:00:00
24,21/02/2026 01:00,Ajax,Nijmegen,01:00:00
24,21/02/2026 01:00,Go Ahead Eagles,Heracles,01:00:00
24,21/02/2026 01:00,NAC Breda,Volendam,01:00:00
24,21/02/2026 01:00,Utrecht,Zwolle,01:00:00
24,21/02/2026 01:00,PSV Eindhoven,Heerenveen,01:00:00
25,28/02/2026 01:00,Heracles,PSV Eindhoven,01:00:00
25,28/02/2026 01:00,Utrecht,AZ Alkmaar,01:00:00
25,28/02/2026 01:00,Zwolle,Ajax,01:00:00
25,28/02/2026 01:00,Nijmegen,For Sittard,01:00:00
25,28/02/2026 01:00,Telstar,NAC Breda,01:00:00
25,28/02/2026 01:00,Heerenveen,Sparta Rotterdam,01:00:00
25,28/02/2026 01:00,Excelsior,Go Ahead Eagles,01:00:00
25,28/02/2026 01:00,Volendam,Groningen,01:00:00
25,28/02/2026 01:00,Twente,Feyenoord,01:00:00
26,07/03/2026 01:00,Nijmegen,Volendam,01:00:00
26,07/03/2026 01:00,Go Ahead Eagles,Twente,01:00:00
26,07/03/2026 01:00,Groningen,Ajax,01:00:00
26,07/03/2026 01:00,Sparta Rotterdam,Zwolle,01:00:00
26,07/03/2026 01:00,Excelsior,Heerenveen,01:00:00
26,07/03/2026 01:00,NAC Breda,Feyenoord,01:00:00
26,07/03/2026 01:00,Heracles,Utrecht,01:00:00
26,07/03/2026 01:00,PSV Eindhoven,AZ Alkmaar,01:00:00
26,07/03/2026 01:00,For Sittard,Telstar,01:00:00
27,14/03/2026 01:00,AZ Alkmaar,Heracles,01:00:00
27,14/03/2026 01:00,Feyenoord,Excelsior,01:00:00
27,14/03/2026 01:00,Volendam,For Sittard,01:00:00
27,14/03/2026 01:00,Ajax,Sparta Rotterdam,01:00:00
27,14/03/2026 01:00,Twente,Utrecht,01:00:00
27,14/03/2026 01:00,Go Ahead Eagles,NAC Breda,01:00:00
27,14/03/2026 01:00,PSV Eindhoven,Nijmegen,01:00:00
27,14/03/2026 01:00,Zwolle,Groningen,01:00:00
27,14/03/2026 01:00,Heerenveen,Telstar,01:00:00
28,21/03/2026 01:00,Heracles,Excelsior,01:00:00
28,21/03/2026 01:00,Zwolle,NAC Breda,01:00:00
28,21/03/2026 01:00,Groningen,AZ Alkmaar,01:00:00
28,21/03/2026 01:00,Utrecht,Go Ahead Eagles,01:00:00
28,21/03/2026 01:00,Feyenoord,Ajax,01:00:00
28,21/03/2026 01:00,For Sittard,Twente,01:00:00
28,21/03/2026 01:00,Sparta Rotterdam,Volendam,01:00:00
28,21/03/2026 01:00,Nijmegen,Heerenveen,01:00:00
28,21/03/2026 01:00,Telstar,PSV Eindhoven,01:00:00
29,04/04/2026 02:00,AZ Alkmaar,For Sittard,02:00:00
29,04/04/2026 02:00,Heerenveen,Heracles,02:00:00
29,04/04/2026 02:00,PSV Eindhoven,Utrecht,02:00:00
29,04/04/2026 02:00,Excelsior,Nijmegen,02:00:00
29,04/04/2026 02:00,Volendam,Feyenoord,02:00:00
29,04/04/2026 02:00,Telstar,Groningen,02:00:00
29,04/04/2026 02:00,Go Ahead Eagles,Zwolle,02:00:00
29,04/04/2026 02:00,NAC Breda,Sparta Rotterdam,02:00:00
29,04/04/2026 02:00,Ajax,Twente,02:00:00
30,11/04/2026 02:00,Heracles,Ajax,02:00:00
30,11/04/2026 02:00,Sparta Rotterdam,PSV Eindhoven,02:00:00
30,11/04/2026 02:00,Groningen,Go Ahead Eagles,02:00:00
30,11/04/2026 02:00,Utrecht,Telstar,02:00:00
30,11/04/2026 02:00,Zwolle,Excelsior,02:00:00
30,11/04/2026 02:00,For Sittard,NAC Breda,02:00:00
30,11/04/2026 02:00,Nijmegen,Feyenoord,02:00:00
30,11/04/2026 02:00,AZ Alkmaar,Heerenveen,02:00:00
30,11/04/2026 02:00,Twente,Volendam,02:00:00
31,23/04/2026 02:00,Go Ahead Eagles,AZ Alkmaar,02:00:00
31,23/04/2026 02:00,Feyenoord,Groningen,02:00:00
31,23/04/2026 02:00,NAC Breda,Ajax,02:00:00
