Round_Number,Date,Home Team,Away_Team
19,06/01/2026 14:00,Cremonese,Cagliari
19,06/01/2026 14:00,Lazio,Fiorentina
19,06/01/2026 14:00,Lecce,Roma
19,06/01/2026 14:00,Milan,Genoa
19,06/01/2026 14:00,Napoli,Verona
19,06/01/2026 14:00,Parma,Inter
19,06/01/2026 14:00,Pisa,Como
19,06/01/2026 14:00,Sassuolo,Juventus
19,06/01/2026 14:00,Torino,Udinese
20,11/01/2026 14:00,Atalanta,Torino
20,11/01/2026 14:00,Como,Bologna
20,11/01/2026 14:00,Fiorentina,Milan
20,11/01/2026 14:00,Genoa,Cagliari
20,11/01/2026 14:00,Inter,Napoli
20,11/01/2026 14:00,Juventus,Cremonese
20,11/01/2026 14:00,Lecce,Parma
20,11/01/2026 14:00,Roma,Sassuolo
20,11/01/2026 14:00,Udinese,Pisa
20,11/01/2026 14:00,Verona,Lazio
21,18/01/2026 14:00,Cremonese,Verona
21,18/01/2026 14:00,Lazio,Como
21,18/01/2026 14:00,Milan,Lecce
21,18/01/2026 14:00,Napoli,Sassuolo
21,18/01/2026 14:00,Parma,Genoa
21,18/01/2026 14:00,Pisa,Atalanta
21,18/01/2026 14:00,Torino,Roma
21,18/01/2026 14:00,Udinese,Inter
21,18/01/2026 14:00,Bologna,Fiorentina
21,18/01/2026 14:00,Cagliari,Juventus
22,25/01/2026 14:00,Atalanta,Parma
22,25/01/2026 14:00,Como,Torino
22,25/01/2026 14:00,Fiorentina,Cagliari
22,25/01/2026 14:00,Genoa,Bologna
22,25/01/2026 14:00,Inter,Pisa
22,25/01/2026 14:00,Juventus,Napoli
22,25/01/2026 14:00,Lecce,Lazio
22,25/01/2026 14:00,Roma,Milan
22,25/01/2026 14:00,Sassuolo,Cremonese
22,25/01/2026 14:00,Verona,Udinese
23,01/02/2026 14:00,Bologna,Milan
23,01/02/2026 14:00,Cagliari,Verona
23,01/02/2026 14:00,Como,Atalanta
23,01/02/2026 14:00,Cremonese,Inter
23,01/02/2026 14:00,Lazio,Genoa
23,01/02/2026 14:00,Napoli,Fiorentina
23,01/02/2026 14:00,Parma,Juventus
23,01/02/2026 14:00,Pisa,Sassuolo
23,01/02/2026 14:00,Torino,Lecce
23,01/02/2026 14:00,Udinese,Roma
24,08/02/2026 14:00,Verona,Pisa
24,08/02/2026 14:00,Sassuolo,Inter
24,08/02/2026 14:00,Roma,Cagliari
24,08/02/2026 14:00,Atalanta,Cremonese
24,08/02/2026 14:00,Bologna,Parma
24,08/02/2026 14:00,Fiorentina,Torino
24,08/02/2026 14:00,Genoa,Napoli
24,08/02/2026 14:00,Juventus,Lazio
24,08/02/2026 14:00,Lecce,Udinese
24,08/02/2026 14:00,Milan,Como
25,15/02/2026 14:00,Cagliari,Lecce
25,15/02/2026 14:00,Como,Fiorentina
25,15/02/2026 14:00,Cremonese,Genoa
